City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Hamilton,NY,Colgate University,MATH 250,Number Theory And Mathematical Reasoning,MATH 4020,Introduction To Number Theory,,,,Colgate University
Loudonville,NY,Siena College,MATH - 340,Introduction To Number Theory,MATH 4020,Introduction To Number Theory,,,,Siena College Undergraduate
Clearwater,FL,St Petersburg College,MAS 4203,Number Theory,MATH 4020,Introduction To Number Theory,,,,St. Petersburg College
Portland,ME,University Of Southern Maine,MAT 392,Theory Of Numbers,MATH 4020,Introduction To Number Theory,,,,University Of Southern Maine Undergraduate
