City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Geneseo,NY,Suny College At Geneseo,CHEM 216,Organic Chemistry Laboratory,CHEM 2230 + CHEM 2230 + CHEM 2240 + CHEM 2240 + CHEM 2250 + CHEM 2250 + CHEM 2260 + CHEM 2260,Organic Chemistry Laboratory I + Organic Chemistry Laboratory I + Organic Chemistry Laboratory II + Organic Chemistry Laboratory II + Organic Chemistry I + Organic Chemistry I + Organic Chemistry II + Organic Chemistry II,,,,SUNY Geneseo Undergraduate
Geneseo,NY,Suny College At Geneseo,CHEM 216,Organic Chemistry Laboratory,CHEM 2230 + CHEM 2230 + CHEM 2240 + CHEM 2240 + CHEM 2250 + CHEM 2250 + CHEM 2260 + CHEM 2260,Organic Chemistry Laboratory I + Organic Chemistry Laboratory I + Organic Chemistry Laboratory II + Organic Chemistry Laboratory II + Organic Chemistry I + Organic Chemistry I + Organic Chemistry II + Organic Chemistry II,,,,SUNY Geneseo Undergraduate
Geneseo,NY,Suny College At Geneseo,CHEM 216 + CHEM 223 + CHEM 224 + CHEM 313,Organic Chemistry Laboratory + Principles Of Organic Chemistry I + Principles Of Organic Chemistry II + Laboratory Techniques In Organic Chemistry I,CHEM 2230 + CHEM 2230 + CHEM 2240 + CHEM 2240 + CHEM 2250 + CHEM 2250 + CHEM 2260 + CHEM 2260,Organic Chemistry Laboratory I + Organic Chemistry Laboratory I + Organic Chemistry Laboratory II + Organic Chemistry Laboratory II + Organic Chemistry I + Organic Chemistry I + Organic Chemistry II + Organic Chemistry II,,,,SUNY Geneseo Undergraduate
Geneseo,NY,Suny College At Geneseo,CHEM 216 + CHEM 223 + CHEM 224 + CHEM 313,Organic Chemistry Laboratory + Principles Of Organic Chemistry I + Principles Of Organic Chemistry II + Laboratory Techniques In Organic Chemistry I,CHEM 2230 + CHEM 2230 + CHEM 2240 + CHEM 2240 + CHEM 2250 + CHEM 2250 + CHEM 2260 + CHEM 2260,Organic Chemistry Laboratory I + Organic Chemistry Laboratory I + Organic Chemistry Laboratory II + Organic Chemistry Laboratory II + Organic Chemistry I + Organic Chemistry I + Organic Chemistry II + Organic Chemistry II,,,,SUNY Geneseo Undergraduate
Plattsburgh,NY,Suny College At Plattsburgh,CHE 242,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,SUNY College At Plattsburgh Undergraduate And Graduate
Cobleskill,NY,Suny College Of Agriculture And Technology At Cobleskill,CHEM 232 + CHEM 232X,Organic Chemistry II + Organic Chemistry II Lab,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,SUNY College Of Agriculture And Technology At Cobleskill
New Paltz,NY,Suny New Paltz,CHE309,Organic Chemistry II Lab,CHEM 2240,Organic Chemistry Laboratory II,,,,SUNY New Paltz Undergraduate
Suffern,NY,Suny Rockland Community College,CHM 202,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,SUNY Rockland Community College
Stone Ridge,NY,Suny Ulster County Community College,CHE 202,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,SUNY Ulster County Community College
Albany,NY,The College Of Saint Rose,CHM 202 + CHM 202L,Organic Chemistry 2 + Organic Chemistry 2 Lab,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,College Of Saint Rose Undergraduate Studies
