City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Ithaca,NY,Cornell University-Endowed Colleges,CHEM 288,Introductory Physical Chemistry,CHEM 4460,Microscopic Physical Chemistry,,,,Cornell University
New Paltz,NY,Suny New Paltz,CHE321,Physical Chemistry I,CHEM 4460,Microscopic Physical Chemistry,,,,SUNY New Paltz Undergraduate
Leeds, ,University Of Leeds,CHEM2350,Foundations Of Physical Chemistry,CHEM 4460,Microscopic Physical Chemistry,,,,University Of Leeds Undergraduate Modules
