City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Boca Raton,FL,Florida Atlantic University,EVR 2017,Honors Environment And Society,STSO 2300,Environment And Society,,,,Florida Atlantic University
Corvallis,OR,Oregon State University,SUS 102,Introduction To Environmental Science And Sustainability,STSO 2300,Environment And Society,,,,Oregon State University
Bend,OR,Oregon State University-Cascades Campus,SUS 102,Introduction To Environmental Science And Sustainability,STSO 2300,Environment And Society,,,,Oregon State University
New York,NY,Pace University-New York,ENV 112,Environmental Studies - Basic Issues,STSO 2300,Environment And Society,,,,Pace University Course Descriptions
Pleasantville,NY,Pace University-Pleasantville Briarcliff,ENV 112,Environmental Studies - Basic Issues,STSO 2300,Environment And Society,,,,Pace University Course Descriptions
White Plains,NY,Pace University-White Plains,ENV 112,Environmental Studies - Basic Issues,STSO 2300,Environment And Society,,,,Pace University Course Descriptions
Rochester,NY,Rochester Institute Of Technology,STSO-120,Introduction To Environmental Studies,STSO 2300,Environment And Society,,,,Rochester Institute Of Technology Undergraduate
Suffern,NY,Suny Rockland Community College,SOC 116,"Sustainability, Society And The Environment",STSO 2300,Environment And Society,,,,SUNY Rockland Community College
Dahlonega,GA,University Of North Georgia,ENST 2030,Environmental Studies & Sustainability,STSO 2300,Environment And Society,,,,University Of North Georgia Undergraduate
