City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Waterville,ME,Colby College,MA 302,Vector Calculus,MATH 4600,Advanced Calculus,,,,Colby College
Easton,PA,Lafayette College,MATH 335,Probability,MATH 4600,Advanced Calculus,,,,Lafayette College
Montreal,QC,Mcgill University,MATH 323,Probability,MATH 4600,Advanced Calculus,,,,Mcgill University Course Descriptions
Fredonia,NY,Suny At Fredonia,PHYS 426,Mathematical Physics II,MATH 4000 + MATH 4600,Mathematics Elective + Advanced Calculus,,,,SUNY Fredonia General
Canton,NY,Suny Canton College Of Technology,MATH 461,Advanced Calculus,MATH 4600,Advanced Calculus,,,,SUNY Canton College Of Technology
Albany,NY,The College Of Saint Rose,MAT 372,Introduction To Probability,MATH 4600,Advanced Calculus,,,,College Of Saint Rose Undergraduate Studies
London, ,University College London,MATH2401,Mathematical Methods 3,MATH 4600,Advanced Calculus,,,,University College London Study Abroad Guide
London, ,University College London,PHAS2246,Mathematical Methods 3,MATH 4600,Advanced Calculus,,,,University College London Study Abroad Guide
Greeley,CO,University Of Northern Colorado,MATH 350,Elementary Probability Theory,MATH 4600,Advanced Calculus,,,,University Of Northern Colorado Undergraduate
