City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Adrian,MI,Adrian College,PHYS205,General Physics I,PHYS 1100,Physics I,,,,Adrian College Undergraduate
Albany,NY,Albany College Of Pharmacy And Health Sciences,PHY 212,College Physics I,PHYS 1100,Physics I,,,,Albany College Of Pharmacy And Health Sciences
Alfred,NY,Alfred University,PHYS 125,Physics I,PHYS 1100,Physics I,,,,Alfred University
Sacramento,CA,American River College,PHYS 410,Mechanics Of Solids And Fluids,PHYS 1100,Physics I,,,,American River College
Washington,DC,American University,PHYS-110,Principles Of Physics I Fa5,PHYS 1100,Physics I,,,,American University
Cairo, ,American University In Cairo,PHYS 1011 + PHYS 1012,"Physics 1: Classical Mechanics, Sound And Heat + General Physics Laboratory I",PHYS 1100,Physics I,,,,American University In Cairo
Arnold,MD,Anne Arundel Community College,PHY 211,General Physics 1,PHYS 1100,Physics I,,,,Anne Arundel Community College
Russellville,AR,Arkansas Tech University,PHYS 2000 + PHYS 2114,Physics Laboratory I + Calculus-Based Physics I,PHYS 1100,Physics I,,,,Arkansas Tech University Undergraduate
Auburn University,AL,Auburn University,PHYS 1600,Engineering Physics I,PHYS 1100,Physics I,,,,Auburn University
Austin,TX,Austin Community College,PHYS 2425,Engineering Physics I,PHYS 1100,Physics I,PHYS 1100 (4cr),05/01/2023,05/01/2026,Austin Community College
Clarksville,TN,Austin Peay State University,PHYS 2110 + PHYS 2111,University Physics I + University Physics I Lab,PHYS 1100,Physics I,,,,Austin Peay State University Undergraduate
Bakersfield,CA,Bakersfield College,PHYSB4A,Mechanics And Wave Motion,PHYS 1100,Physics I,,,,Bakersfield College
Berea,OH,Baldwin Wallace University,PHY 331 + PHY 371,Physical Mechanics I + Thermal Physics,PHYS 1100,Physics I,,,,Baldwin Wallace University
Annandale-On-Hudson,NY,Bard College,PHYS 101,Calculus-Based Physics I,PHYS 1100,Physics I,,,,Bard High School Early College Queens Spring
Great Barrington,MA,Bard College At Simon's Rock,PHYS 101,Calculus-Based Physics I,PHYS 1100,Physics I,,,,Bard High School Early College Queens Spring
Lewiston,ME,Bates College,PHYS 107,Introductory Physics Of Living Systems I/Lab,PHYS 1100,Physics I,,,,Bates College
