City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Columbia,MD,Howard Community College,MUSC 145,Music Technology In Society,ARTS 2020,Music And Technology I,,,,Howard Community College
Albany,NY,The College Of Saint Rose,MUS 257,Music Technology,ARTS 2020,Music And Technology I,,,,College Of Saint Rose Undergraduate Studies
New York,NY,The Juilliard School,GRMUS P667 + GRMUS P668,Introduction To Interactive Music Technology + Advanced Interactive Music Technology,ARTS 2020,Music And Technology I,,,,Juilliard School
