City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Castleton,VT,Castleton University,COM 1211,Introduction To Video And Filmmaking,ARTS 1010,Introduction To Music And Sound,,,,Castleton University Undergraduate
Bloomington,IN,Indiana University-Bloomington,MUS Z111,Introduction To Music Theory,ARTS 1010,Introduction To Music And Sound,,,,Indiana University Jacobs School Of Music
Randolph Center,VT,Vermont State University,COM 1211,Introduction To Video And Filmmaking,ARTS 1010,Introduction To Music And Sound,,,,Castleton University Undergraduate
