City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Bayside,NY,Cuny Queensborough Community College,ARCH125 + ARCH237,Surveying And Site Planning + Environmental Systems,ARCH 4740,Building Systems And Environment,,,,CUNY Queensborough Community College
Troy,NY,Hudson Valley Community College,CIVL 215 + CIVL 223,Architectural Design IV + Introduction To Building Technology,ARCH 2370 + ARCH 4740,"Energy, Comfort, And Ecology + Building Systems And Environment",,,,Hudson Valley Community College
Delhi,NY,Suny College Of Technology At Delhi,AECT 280,"Mechanical, Electrical, And Plumbing",ARCH 4740,Building Systems And Environment,,,,SUNY Delhi College Of Technology
Delhi,NY,Suny College Of Technology At Delhi,CNST 110 + CNST 210,Residential Building Systems I + Commercial Construction,ARCH 2350 + ARCH 4740,Construction Systems + Building Systems And Environment,,,,SUNY Delhi College Of Technology
