City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Selden,NY,Suffolk County Community College-Central Report,MAT131,Calculus For Non-Science Majors,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Suffolk County Community College
Riverhead,NY,Suffolk County Community College-Eastern Campus,MAT131,Calculus For Non-Science Majors,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Suffolk County Community College
Brentwood,NY,Suffolk County Community College-Western Campus,MAT131,Calculus For Non-Science Majors,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Suffolk County Community College
Plattsburgh,NY,Suny College At Plattsburgh,MAT 221,"Calculus For The Life, Management, & Social Sciences I",MATH 1500,"Calculus For Architecture, Management, And Hass",,,,SUNY College At Plattsburgh Undergraduate And Graduate
Syracuse,NY,Suny College Of Environmental Science And Forestry,APM 105 + APM 106,Survey Of Calculus And Its Applications I + Survey Of Calculus And Its Applications II,MATH 1000 + MATH 1500,"Mathematics Elective + Calculus For Architecture, Management, And Hass",,,,SUNY College Of Environmental Science And Forestry
Philadelphia,PA,Temple University,MATH 1031,Differential And Integral Calculus,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Temple University Undergraduate
University Park,PA,The Pennsylvania State University,MATH 110,Techniques Of Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,09/01/2023,09/01/2026,Pennsylvania State University Undergraduate
Philadelphia,PA,Thomas Jefferson University,MATH 103,Applied Calculus,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Thomas Jefferson University
New Orleans,LA,Tulane University,MATH 121,Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Tulane University
Houston,TX,University Of Houston,MATH 1314,College Algebra,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,University Of Houston Undergraduate
Lawrence,KS,University Of Kansas,MATH 115 + MATH 116,Calculus I + Calculus II,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,University Of Kansas
College Park,MD,University Of Maryland-College Park,MATH 220,Elementary Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,University Of Maryland College Park Undergraduate
Amherst,MA,University Of Massachusetts-Amherst,MATH 127,Calculus For The Life And Social Sciences I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,University Of Massachusetts Amherst Course Descriptions
Coral Gables,FL,University Of Miami,MTH 130,Introductory Calculus,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,University Of Miami
Durham,NH,University Of New Hampshire-Main Campus,MATH 424B,Calculus For Life Sciences,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,University Of New Hampshire Undergraduate
Charlotte,NC,University Of North Carolina At Charlotte,MATH 1120,Calculus,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,University Of North Carolina Charlotte Undergraduate
Grand Forks,ND,University Of North Dakota-Main Campus,MATH 146,Applied Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,University Of North Dakota
Kingston,RI,University Of Rhode Island,MTH131,Applied Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,University Of Rhode Island
Columbia,SC,University Of South Carolina Columbia,MATH 122,Calculus For Business Administration And Social Sciences,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,University Of South Carolina At Columbia Undergraduate
Blacksburg,VA,Virginia Polytechnic Institute And State University,MATH 1536,Geometry And Mathematics Of Design,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Virginia Polytechnic Institute And State University
Springfield,MA,Western New England University,MATH 111,Analysis For Business And Economics,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Western New England University
Springfield,MA,Western New England University,MATH 123 + MATH 124,"Calculus I For Management, Life, And Social Sciences + Calculus II For Management, Life, And Social Sciences",MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Western New England University
Cincinnati,OH,Xavier University,MATH 150,Elements Of Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Xavier University Undergraduate And Graduate
