City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Ithaca,NY,Ithaca College,COMP 34500,Introduction To Software Engineering,CSCI 2600,Principles Of Software,,,,Ithaca College
Rochester,NY,Rochester Institute Of Technology,SWEN-261,Introduction To Software Engineering,CSCI 2600,Principles Of Software,,,,Rochester Institute Of Technology Undergraduate
Stone Ridge,NY,Suny Ulster County Community College,CSC 260,Theory & Practice Of Object-Oriented Programming,CSCI 2600,Principles Of Software,,,,SUNY Ulster County Community College
Durham,NH,University Of New Hampshire-Main Campus,CS 619,Introduction To Object-Oriented Design And Development,CSCI 2600,Principles Of Software,,,,University Of New Hampshire Undergraduate
