City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Garden City,NY,Adelphi University,MTH114,Statistics For Natural Sci,MGMT 2100,Statistical Methods,,,,Adelphi University Undergraduate And Graduate Courses
Queensbury,NY,Adirondack Community College,MAT 127,Introductory Statistics With Probability,MGMT 2100,Statistical Methods,,,,SUNY Adirondack Community College
Albany,NY,Albany College Of Pharmacy And Health Sciences,MAT 145,Elementary Statistics,MGMT 2100,Statistical Methods,,,,Albany College Of Pharmacy And Health Sciences
Charles Town,WV,American Public University System,MATH302,Statistics,MGMT 2100,Statistical Methods,,,,American Public University System Undergraduate
Sacramento,CA,American River College,STAT 300,Introduction To Probability And Statistics,MGMT 2100,Statistical Methods,,,,American River College
Washington,DC,American University,STAT-202,Basic Statistics,MGMT 2100,Statistical Methods,,,,American University
Washington,DC,American University,STAT-204,Introduction To Business Statistics,MGMT 2100,Statistical Methods,,,,American University
Annandale-On-Hudson,NY,Bard College,MATH 110,Pre-Calculus,MGMT 2100,Statistical Methods,,,,Bard High School Early College Queens Spring
Great Barrington,MA,Bard College At Simon's Rock,MATH 110,Pre-Calculus,MGMT 2100,Statistical Methods,,,,Bard High School Early College Queens Spring
Lewiston,ME,Bates College,MATH 214 + MATH 215,Probability + Statistics,MGMT 2100,Statistical Methods,,,,Bates College
Lewiston,ME,Bates College,MATH 215,Statistics,MGMT 2100,Statistical Methods,,,,Bates College
Waltham,MA,Bentley University,GB 213,Business Statistics,MGMT 2100,Statistical Methods,,,,Bentley University Undergraduate
Waltham,MA,Bentley University,MA 105,Mathematical Foundations For Business,MGMT 2100,Statistical Methods,MGMT 2100 (3 cr),01/01/2024,01/01/2027,Bentley University Undergraduate
Paramus,NJ,Bergen Community College,MAT-150,Statistics I,MGMT 2100,Statistical Methods,,,,Bergen Community College
White Plains,NY,Berkeley College - Westchester Campus,MAT2215,Statistics I,MGMT 2100,Statistical Methods,MGMT 2100 (3cr),05/01/2023,05/01/2026,Berkeley College Undergraduate
New York,NY,Berkeley College-New York,MAT2215,Statistics I,MGMT 2100,Statistical Methods,MGMT 2100 (3cr),05/01/2023,05/01/2026,Berkeley College Undergraduate
Woodland Park,NJ,Berkeley College-Woodland Park,MAT2215,Statistics I,MGMT 2100,Statistical Methods,MGMT 2100 (3cr),05/01/2023,05/01/2026,Berkeley College Undergraduate
Pittsfield,MA,Berkshire Community College,MAT 123,Elementary Statistics,MGMT 2100,Statistical Methods,,,,Berkshire Community College
Chestnut Hill,MA,Boston College,OPER1135,Business Statistics,MGMT 2100,Statistical Methods,,,,Boston College
Boston,MA,Boston University,CAS MA 115,Statistics I,MGMT 2100,Statistical Methods,,01/01/2024,01/01/2027,Boston University Course Descriptions
Fall River,MA,Bristol Community College,MTH 119,Fundamental Statistics,MGMT 2100,Statistical Methods,,,,Bristol Community College
Lincroft,NJ,Brookdale Community College,MATH131,Statistics,MGMT 2100,Statistical Methods,,,,Brookdale Community College
Binghamton,NY,Broome Community College,MAT 124,Statistics I,MGMT 2100,Statistical Methods,,,,SUNY Broome Community College
Fort Lauderdale,FL,Broward College,STA2023,Statistics,MGMT 2100,Statistical Methods,,,,Broward College
Smithfield,RI,Bryant University,MATH 201 + MATH 350,Statistics I + Statistics II,MGMT 2000 + MGMT 2100,Management Elective + Statistical Methods,,,,Bryant University Undergraduate
Newtown,PA,Bucks County Community College,MATH-115,Elementary Statistics,MGMT 2100,Statistical Methods,MGMT 2100 (3cr),05/01/2023,05/01/2026,Bucks County Community College
Newtown,PA,Bucks County Community College,MATH 115H,Elementary Statistics – Honors Section,MGMT 2100,Statistical Methods,MGMT 2100 (3cr),05/01/2023,05/01/2026,Bucks County Community College
Bristol,PA,Bucks County Community College-Lower Bucks Campus,MATH-115,Elementary Statistics,MGMT 2100,Statistical Methods,MGMT 2100 (3cr),05/01/2023,05/01/2026,Bucks County Community College
Bristol,PA,Bucks County Community College-Lower Bucks Campus,MATH 115H,Elementary Statistics – Honors Section,MGMT 2100,Statistical Methods,MGMT 2100 (3cr),05/01/2023,05/01/2026,Bucks County Community College
