City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Waltham,MA,Brandeis University,CHIN 20b,Continuing Chinese,LANG 1420,Chinese II,,,,Brandeis University
Waterbury,CT,Connecticut State Community College Naugatuck Campus,CHI*H102,Elementary Chinese II,LANG 1420,Chinese II,,,,Naugatuck Valley Community College
Corning,NY,Corning Community College,CHIN 1020,Beginning Chinese II,LANG 1420,Chinese II,,,,Corning Community College
Carlisle,PA,Dickinson College,CHIN 102,Elementary Chinese,LANG 1420,Chinese II,,,,Dickinson College
Durham,NC,Duke University,CHINESE 63,Intermediate Chinese,LANG 1420,Chinese II,,,,Duke University Undergraduate Instruction
Indianapolis,IN,Indiana University-Purdue University-Indianapolis,EALC-C 118,Basic Chinese II,LANG 1420,Chinese II,,,,Indiana University Purdue University Indianapolis Bulletin
Syracuse,NY,Onondaga Community College,CHI 102,Elementary Chinese II,LANG 1420,Chinese II,,,,Onondaga Community College
New Haven,CT,Southern Connecticut State University,CHI 101,Chinese II,LANG 1420,Chinese II,,,,Southern Connecticut State University Undergraduate
Salt Lake City,UT,University Of Utah,CHIN1020,Beginning Mandarin Chinese II,LANG 1420,Chinese II,,,,University Of Utah
Wellesley,MA,Wellesley College,CHIN 103,Advanced Beginning Chinese I,LANG 1420,Chinese II,,,,Wellesley College
