City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
New York,NY,Pace University-New York,CHE 302,"Physical Chemistry II: Thermodynamics, Molecular Interactions And Kinetics",CHEM 4420,Microscopic Physical Chemistry,,,,Pace University Course Descriptions
Pleasantville,NY,Pace University-Pleasantville Briarcliff,CHE 302,"Physical Chemistry II: Thermodynamics, Molecular Interactions And Kinetics",CHEM 4420,Microscopic Physical Chemistry,,,,Pace University Course Descriptions
White Plains,NY,Pace University-White Plains,CHE 302,"Physical Chemistry II: Thermodynamics, Molecular Interactions And Kinetics",CHEM 4420,Microscopic Physical Chemistry,,,,Pace University Course Descriptions
Loudonville,NY,Siena College,CHEM - 320,Quantum Mechanics And Spectroscopy,CHEM 4420,Microscopic Physical Chemistry,,,,Siena College Undergraduate
Utica,NY,Utica University,CHE 346,Physical Chemistry II: Structure,CHEM 4420,Microscopic Physical Chemistry,,,,Utica University Winter/Spring Undergraduate
