City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Alfred,NY,Alfred University,MATH 371,Linear Algebra,MATH 1000,Mathematics Elective,,,,Alfred University
Chestnut Hill,MA,Boston College,MATH2216,Introduction To Abstract Mathematics,MATH 1000,Mathematics Elective,,,,Boston College
Chestnut Hill,MA,Boston College,MATH221001,Linear Algebra,MATH 1000,Mathematics Elective,,,,Boston College
Bowling Green,OH,Bowling Green State University-Main Campus,MATH 332,Elementary Linear Algebra,MATH 1000,Mathematics Elective,,,,Bowling Green State University Course Descriptions
Aptos,CA,Cabrillo College,MATH-6,Intro Linear Algebr,MATH 1000,Mathematics Elective,,,,Cabrillo College Course Descriptions
Pasadena,CA,California Institute Of Technology,Ma 1,D Series,MATH 1000,Mathematics Elective,,,,California Institute Of Technology
Northfield,MN,Carleton College,MATH 236,Mathematical Structures,MATH 1000,Mathematics Elective,,,,Carleton College
Castleton,VT,Castleton University,MAT 2021,Statistics I,MATH 1000,Mathematics Elective,,,,Castleton University Undergraduate
Cazenovia,NY,Cazenovia College,SM 266,Calculus II,MATH 1000,Mathematics Elective,,,,Cazenovia College
Mount Pleasant,MI,Central Michigan University,MTH 223,Linear Algebra And Matrix Theory,MATH 1000,Mathematics Elective,,,,Central Michigan University Undergraduate
Chicopee,MA,College Of Our Lady Of The Elms,MAT 109,Statistics,MATH 1000,Mathematics Elective,,,,Elms College
Twin Falls,ID,College Of Southern Idaho,MATH 230,Introduction To Linear Algebra,MATH 1000,Mathematics Elective,,,,College Of Southern Idaho
La Plata,MD,College Of Southern Maryland,MTH-2300,Introduction To Statistics,MATH 1000,Mathematics Elective,,,,College Of Southern Maryland
New York,NY,Columbia University In The City Of New York,SIEO W3600,Introduction To Probability And Statistics,MATH 1000,Mathematics Elective,,,,Columbia University Engineering & Applied Science
Hudson,NY,Columbia-Greene Community College,MA 102,Statistics,MATH 1000 + MGMT 2100,Mathematics Elective + Statistical Methods,,,,Columbia-Greene Community College
Ithaca,NY,Cornell University-Endowed Colleges,BTRY 408,Theory And Probability,MATH 1000,Mathematics Elective,,,,Cornell University
Ithaca,NY,Cornell University-Endowed Colleges,MATH 213,Calculus III,MATH 1000,Mathematics Elective,,,,Cornell University
Staten Island,NY,Cuny College Of Staten Island,MTH 229,Calculus Computer Laboratory,MATH 1000,Mathematics Elective,,,,CUNY College Of Staten Island Undergraduate
Long Island City,NY,Cuny Laguardia Community College,MAT210,Linear Algebra,MATH 1000,Mathematics Elective,MATH 1000 (3 cr),01/01/2024,01/01/2027,CUNY LaGuardia Community College
Cupertino,CA,De Anza College,MATH 10,Introductory Statistics,MATH 1000,Mathematics Elective,,,,De Anza College
Redmond,WA,Digipen Institute Of Technology,MAT 140,Linear Algebra And Geometry,MATH 1000,Mathematics Elective,,,,DigiPen Institute Of Technology
Madison,NJ,Drew University,MATH 103,Linear Algebra,MATH 1000,Mathematics Elective,,,,Drew University College Of Liberal Arts
Pittsburgh,PA,Duquesne University,MATH 135,Discrete Mathematics,MATH 1000,Mathematics Elective,,,,Duquesne University Undergraduate
Poughkeepsie,NY,Dutchess Community College,MAT217,Introduction To Proofs,MATH 1000,Mathematics Elective,,,,Dutchess Community College
Emory,VA,Emory And Henry College,MATH 201,Intro To Mathematical Reasoning,MATH 1000,Mathematics Elective,,,,Emory And Henry College
Fairfield,CT,Fairfield University,MA 0217,Statistics I,MATH 1000,Mathematics Elective,,,,Fairfield University Course Descriptions
