City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Troy,NY,Hudson Valley Community College,CIVL 112 + CIVL 210,Statics And Strength Of Materials + Structural Steel Design,ARCH 2330 + ARCH 4330,Structures 1 + Structures 2,ARCH 2330 (3cr) + ARCH 4330 (3cr),09/01/2023,09/01/2026,Hudson Valley Community College
Troy,NY,Hudson Valley Community College,CIVL 210 + CIVL 211,Structural Steel Design + Reinforced Concrete Design,ARCH 4330,Structures 2,,,,Hudson Valley Community College
Delhi,NY,Suny College Of Technology At Delhi,AECT 250,Struc. Steel & Reinf. Concrete,ARCH 4330,Structures 2,,,,SUNY Delhi College Of Technology
