City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Hartford,CT,University Of Connecticut-Hartford Campus,POLS 296,Political Issues,STSO 2000,Science And Technology Studies Elective,,,,University Of Connecticut Undergraduate
Hartford,CT,University Of Connecticut-Hartford Campus,SPAN 188,"Christians, Muslims And Jews In Medieval Spain",STSO 2000,Science And Technology Studies Elective,,,,University Of Connecticut Undergraduate
Hartford,CT,University Of Connecticut-Hartford Campus,SPSS 3230,"Biotechnology - Science, Application, Impact, Perception",STSO 2000,Science And Technology Studies Elective,,,,University Of Connecticut Undergraduate
Stamford,CT,University Of Connecticut-Stamford,GEOG 2000,Globalization,STSO 2000,Science And Technology Studies Elective,,,,University Of Connecticut Undergraduate
Stamford,CT,University Of Connecticut-Stamford,HIST 1501 + HIST 1502,United States History To 1877 + U.S. History Since 1877,STSO 2000 + STSO 2500,Science And Technology Studies Elective + American History,STSO 2500 (4 credits) STSO 2000 (2 credits),05/01/2023,05/01/2026,University Of Connecticut Undergraduate
Stamford,CT,University Of Connecticut-Stamford,POLS 216,International Political Economy,STSO 2000,Science And Technology Studies Elective,,,,University Of Connecticut Undergraduate
Stamford,CT,University Of Connecticut-Stamford,POLS 229,Chinese Government And Politics,STSO 2000,Science And Technology Studies Elective,,,,University Of Connecticut Undergraduate
Stamford,CT,University Of Connecticut-Stamford,POLS 296,Political Issues,STSO 2000,Science And Technology Studies Elective,,,,University Of Connecticut Undergraduate
Stamford,CT,University Of Connecticut-Stamford,SPAN 188,"Christians, Muslims And Jews In Medieval Spain",STSO 2000,Science And Technology Studies Elective,,,,University Of Connecticut Undergraduate
Stamford,CT,University Of Connecticut-Stamford,SPSS 3230,"Biotechnology - Science, Application, Impact, Perception",STSO 2000,Science And Technology Studies Elective,,,,University Of Connecticut Undergraduate
Waterbury,CT,University Of Connecticut-Waterbury Campus,GEOG 2000,Globalization,STSO 2000,Science And Technology Studies Elective,,,,University Of Connecticut Undergraduate
