City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Durango,CO,Fort Lewis College,ENGR 330,Heat Transfer,MANE 4730,Heat Transfer,,01/01/2022,01/01/2027,Fort Lewis College
Kongens Lyngby, ,Technical University Of Denmark (Dtu) - Rpi Study Abroad,41,814 Heat Transfer,MANE 4730,Heat Transfer,,01/01/2024,01/01/2027,DTU - RPI ADDED
Christchurch, ,University Of Canterbury - Rpi Study Abroad,ENME 315,Heat Transfer,MANE 4730,Heat Transfer,,09/01/2023,09/01/2026,UNIVERSITY OF CANTERBURY - RPI ADDED 2023-2024
