City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Paramus,NJ,Bergen Community College,LIT-204,World Literature 1650 To Present,LITR 2150,Modern And Contemporary Literature,,,,Bergen Community College
Clemson,SC,Clemson University,ENGL 2150,Literature In 20Th- And 21St-Century Contexts,LITR 2150,Modern And Contemporary Literature,,,,Clemson University Undergraduate
Madison,WI,University Of Wisconsin-Madison,ENGLISH 168,Introduction To Modern Literature Since 1900,LITR 2150,Modern And Contemporary Literature,,,,University Of Wisconsin Madison Graduate
