City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Edison,NJ,Middlesex College,PHI-123,Ethics,PHIL 2000,Philosophy Elective,,,,Middlesex College
Rockville,MD,Montgomery College,PL 190,Elementary Logic And Semantics,PHIL 2000,Philosophy Elective,,,,Montgomery College
Moorpark,CA,Moorpark College,PHIL M02,Introduction To Ethics,PHIL 2000,Philosophy Elective,,,,Moorpark College Course Descriptions
Gardner,MA,Mount Wachusett Community College,PHL 210,Levels Of Being,PHIL 2000,Philosophy Elective,,,,Mount Wachusett Community College
Nashville,TN,Nashville State Community College,PHIL 1111,Introduction To Ethics,PHIL 2000,Philosophy Elective,,,,Nashville State Community College
Alfred Station,NY,New York State College Of Ceramics At Alfred University,PHIL 281,Ethics,PHIL 2000,Philosophy Elective,,,,Alfred University
Concord,NH,Nhti-Concord's Community College,PI 242,Contemporary Ethical Issues,PHIL 2000,Philosophy Elective,,,,NHTI Concord'S Community College Course Descriptions
Wahpeton,ND,North Dakota State College Of Science,PHIL 210,Ethics,PHIL 2000,Philosophy Elective,,,,North Dakota State College Of Science
Boston,MA,Northeastern University,PHL 1140,Social And Political Philosophy,PHIL 2000,Philosophy Elective,,,,Northeastern University Undergraduate
Boston,MA,Northeastern University,PHL 1225,Ancient Philosophy,PHIL 2000,Philosophy Elective,,,,Northeastern University Undergraduate
Boston,MA,Northeastern University Lifelong Learning Network,PHL 1140,Social And Political Philosophy,PHIL 2000,Philosophy Elective,,,,Northeastern University Undergraduate
Boston,MA,Northeastern University Lifelong Learning Network,PHL 1225,Ancient Philosophy,PHIL 2000,Philosophy Elective,,,,Northeastern University Undergraduate
Oberlin,OH,Oberlin College,PHIL 222,Philosophy Of Science,PHIL 2000,Philosophy Elective,,,,Oberlin College
Oberlin,OH,Oberlin College,RELG 101,Introduction To Religion: Religion As A World Phenomenon,PHIL 2000,Philosophy Elective,,,,Oberlin College
Oberlin,OH,Oberlin College,RELG 102,Introduction To Religion: Roots Of Religion In The Mediterranean World,PHIL 2000,Philosophy Elective,,,,Oberlin College
Oberlin,OH,Oberlin College,RELG 104,Introduction To Religion: Narrative In Asian Traditions,PHIL 2000,Philosophy Elective,,,,Oberlin College Course Descriptions
Columbus,OH,Ohio State University,PHILOS 2450,Philosophical Problems In The Arts,PHIL 2000,Philosophy Elective,,,,Ohio State University Course Offerings
Wooster,OH,Ohio State University Agricultural Technical Inst,PHILOS 2450,Philosophical Problems In The Arts,PHIL 2000,Philosophy Elective,,,,Ohio State University Course Offerings
Lima,OH,Ohio State University-Lima Campus,PHILOS 2450,Philosophical Problems In The Arts,PHIL 2000,Philosophy Elective,,,,Ohio State University Course Offerings
Mansfield,OH,Ohio State University-Mansfield Campus,PHILOS 2450,Philosophical Problems In The Arts,PHIL 2000,Philosophy Elective,,,,Ohio State University Course Offerings
Marion,OH,Ohio State University-Marion Campus,PHILOS 2450,Philosophical Problems In The Arts,PHIL 2000,Philosophy Elective,,,,Ohio State University Course Offerings
Newark,OH,Ohio State University-Newark Campus,PHILOS 2450,Philosophical Problems In The Arts,PHIL 2000,Philosophy Elective,,,,Ohio State University Course Offerings
Middletown,NY,Orange County Community College,PHL 210,Philosophy,PHIL 2000,Philosophy Elective,,,,SUNY Orange County Community College
New York,NY,Pace University-New York,PHI 113,Ancient Philosophy,PHIL 2000,Philosophy Elective,,,,Pace University Course Descriptions
New York,NY,Pace University-New York,PHI 121,Ethics In The Workplace,PHIL 2000,Philosophy Elective,,,,Pace University Course Descriptions
New York,NY,Pace University-New York,RES 106,Religions Of The Globe,PHIL 2000,Philosophy Elective,,,,Pace University Course Descriptions
Pleasantville,NY,Pace University-Pleasantville Briarcliff,PHI 113,Ancient Philosophy,PHIL 2000,Philosophy Elective,,,,Pace University Course Descriptions
Pleasantville,NY,Pace University-Pleasantville Briarcliff,PHI 121,Ethics In The Workplace,PHIL 2000,Philosophy Elective,,,,Pace University Course Descriptions
Pleasantville,NY,Pace University-Pleasantville Briarcliff,RES 106,Religions Of The Globe,PHIL 2000,Philosophy Elective,,,,Pace University Course Descriptions
White Plains,NY,Pace University-White Plains,PHI 113,Ancient Philosophy,PHIL 2000,Philosophy Elective,,,,Pace University Course Descriptions
White Plains,NY,Pace University-White Plains,PHI 121,Ethics In The Workplace,PHIL 2000,Philosophy Elective,,,,Pace University Course Descriptions
White Plains,NY,Pace University-White Plains,RES 106,Religions Of The Globe,PHIL 2000,Philosophy Elective,,,,Pace University Course Descriptions
Pasadena,CA,Pasadena City College,PHILO 3,Ethics,PHIL 2000,Philosophy Elective,,,,Pasadena City College
New Port Richey,FL,Pasco-Hernando State College,PHI 1630,Applied Ethics,PHIL 2000,Philosophy Elective,,,,Pasco-Hernando State College
