City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Garden City,NY,Adelphi University,PHY380,Electromagnetic Theory,PHYS 4210,Electromagnetic Theory,,,,Adelphi University Undergraduate And Graduate Courses
Wooster,OH,College Of Wooster,PHYS 30400,Electricity & Magnetism,PHYS 4210,Electromagnetic Theory,,,,College Of Wooster
Carlisle,PA,Dickinson College,PHYS 312,Electrodynamics,PHYS 4210,Electromagnetic Theory,,,,Dickinson College
Gettysburg,PA,Gettysburg College,PHY-330,Electricity & Magnetism,PHYS 4210,Electromagnetic Theory,,,,Gettysburg College
Ithaca,NY,Ithaca College,PHYS 30500,Electromagnetism,PHYS 4210,Electromagnetic Theory,,,,Ithaca College
Loudonville,NY,Siena College,PHYS - 410,Electromagnetic Theory I,PHYS 4210,Electromagnetic Theory,,,,Siena College Undergraduate
Saratoga Springs,NY,Skidmore College,PY 346,Electricity And Magnetism,PHYS 4210,Electromagnetic Theory,,,,Skidmore College
Rochester,NY,St. John Fisher University,PHYS-341 + PHYS-342,Electricity & Magnetism I + Electricity&Magnetism II,PHYS 4210,Electromagnetic Theory,,,,Saint John Fisher College Undergraduate
Potsdam,NY,Suny College At Potsdam,PHYS 480,Electromagnetic Theory I,PHYS 4210,Electromagnetic Theory,,,,SUNY Potsdam
London, ,University College London,PHAS3201,Electromagnetic Theory,PHYS 4210,Electromagnetic Theory,,,,University College London Study Abroad Guide
Poughkeepsie,NY,Vassar College,PHYS 240,Electromagnetism I,PHYS 4210,Electromagnetic Theory,PHYS 4210 (4 cr),05/01/2023,05/01/2026,Vassar College
