City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Beloit,WI,Beloit College,CHEM 220,"Environmental, Analytical, And Geochemistry",CHEM 2110,Equilibrium Chemistry And Quantitative Analysis,,,,Beloit College
Ithaca,NY,Cornell University-Endowed Colleges,CHEM 300,Quantitative Chemistry,CHEM 2110,Equilibrium Chemistry And Quantitative Analysis,,,,Cornell University
Richmond,IN,Earlham College,CHEM 331,Equilibrium And Analysis,CHEM 2110,Equilibrium Chemistry And Quantitative Analysis,,,,Earlham College Curriculum Guide
New York,NY,Pace University-New York,CHE 221,Analytical Methods And Techniques,CHEM 2110,Equilibrium Chemistry And Quantitative Analysis,,,,Pace University Course Descriptions
Pleasantville,NY,Pace University-Pleasantville Briarcliff,CHE 221,Analytical Methods And Techniques,CHEM 2110,Equilibrium Chemistry And Quantitative Analysis,,,,Pace University Course Descriptions
White Plains,NY,Pace University-White Plains,CHE 221,Analytical Methods And Techniques,CHEM 2110,Equilibrium Chemistry And Quantitative Analysis,,,,Pace University Course Descriptions
Loudonville,NY,Siena College,CHEM - 225,Quantitative Analysis,CHEM 2110,Equilibrium Chemistry And Quantitative Analysis,,,,Siena College Undergraduate
Utica,NY,Utica University,CHE 323,Quantitative Analysis,CHEM 2110 + CHEM 2120,Equilibrium Chemistry And Quantitative Analysis + Experimental Chemistry I: Analytical Techniques,,,,Utica University Winter/Spring Undergraduate
Villanova,PA,Villanova University,CHM 3501 + CHM 3511,Instrumental Analysis Lab + Instrumental Analysis,CHEM 2110 + CHEM 2120,Equilibrium Chemistry And Quantitative Analysis + Experimental Chemistry I: Analytical Techniques,,,,Villanova University
