City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Adrian,MI,Adrian College,INTD224,History Of Architecture & Interiors II,ARCH 4120,"Cloud Atlas: 20Th Century Architecture, Culture And Civilization",,,,Adrian College Undergraduate
Lincroft,NJ,Brookdale Community College,ARCH247,History Of Architecture: Industrial Revolution To Modernism,ARCH 4120,"Cloud Atlas: 20Th Century Architecture, Culture And Civilization",,,,Brookdale Community College
Miami,FL,Miami Dade College,ARC2702,History Of Architecture 2,ARCH 4120,"Cloud Atlas: 20Th Century Architecture, Culture And Civilization",,,,Miami Dade College
Pasadena,CA,Pasadena City College,ARCH 024B,History Of Architecture – Renaissance To Contemporary,ARCH 4120,"Cloud Atlas: 20Th Century Architecture, Culture And Civilization",,,,Pasadena City College
Bristol,RI,Roger Williams University,AAH 122,History Of Art And Architecture II,ARCH 4120,"Cloud Atlas: 20Th Century Architecture, Culture And Civilization",,,,Roger Williams University
Bristol,RI,Roger Williams University School Of Law,AAH 122,History Of Art And Architecture II,ARCH 4120,"Cloud Atlas: 20Th Century Architecture, Culture And Civilization",,,,Roger Williams University
Saratoga,CA,West Valley College,ARCH 047,History Of Modern Architecture,ARCH 4120,"Cloud Atlas: 20Th Century Architecture, Culture And Civilization",,,,West Valley College
