City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Lancaster,PA,Franklin And Marshall College,AST 322,Stellar Astrophysics,ASTR 4000,Astronomy Elective,,,,Franklin And Marshall College
Lancaster,PA,Franklin And Marshall College,AST 332,Galaxies And Cosmology,ASTR 4000,Astronomy Elective,,,,Franklin And Marshall College
Lancaster,PA,Franklin And Marshall College,AST 421,Experimental Methods Of Astrophysics,ASTR 4000,Astronomy Elective,,,,Franklin And Marshall College
Oneonta,NY,Hartwick College,PHYS 344,Astrophysics,ASTR 4000,Astronomy Elective,,,,Hartwick College
Kongens Lyngby, ,Technical University Of Denmark (Dtu) - Rpi Study Abroad,30,720 Physics Of The Space Environment,ASTR 4000,Astronomy Elective,ASTR 4000 (3 credits),01/01/2024,01/01/2027,DTU - RPI ADDED
London, ,University College London,PHAS3338,Astronomical Spectroscopy,ASTR 4000,Astronomy Elective,,,,University College London Study Abroad Guide
