City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Annandale-On-Hudson,NY,Bard College,MATH 332,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Bard College
Albion,NY,Bard College - Albion Correctional Facility,MATH 332,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Bard College
New York,NY,Bard College - Bard Globalization And International Affairs Program,MATH 332,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Bard College
Newark,NJ,Bard College - Bhsec Newark,MATH 332,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Bard College
Brooklyn,NY,Bard College - Brooklyn Public Library,MATH 332,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Bard College
Napanoch,NY,Bard College - Eastern Ny Correctional Facility,MATH 332,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Bard College
Beacon,NY,Bard College - Fishkill Correctional Facility,MATH 332,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Bard College
Stormville,NY,Bard College - Green Haven Correctional Facility,MATH 332,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Bard College
Holyoke,MA,Bard College - Holyoke Microcollege,MATH 332,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Bard College
Los Angeles,CA,Bard College - Mat Program Ca,MATH 332,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Bard College
New York,NY,"Bard College - New York Public Library, Countee Cullen Branch",MATH 332,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Bard College
Bedford Hill,NY,Bard College - Taconic Correctional Facility,MATH 332,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Bard College
Woodbourne,NY,Bard College - Woodbourne Correctional Facility,MATH 332,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Bard College
Beloit,WI,Beloit College,MATH 215,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Beloit College
Pasadena,CA,California Institute Of Technology,Ma 5b + Ma 5c,Introduction To Abstract Algebra + Introduction To Abstract Algebra,MATH 4010,Abstract Algebra,,,,California Institute Of Technology
Wooster,OH,College Of Wooster,MATH 33400,Abstract Algebra,MATH 4010,Abstract Algebra,,,,College Of Wooster
Bronx,NY,Cuny Bronx Community College,MTH 46,Abstract Algebra,MATH 4010,Abstract Algebra,,,,CUNY Bronx Community College
Ypsilanti,MI,Eastern Michigan University,MATH 411,Introduction To Abstract Algebra,MATH 4010,Abstract Algebra,,,,Eastern Michigan University Undergraduate
Marlboro,VT,Marlboro College,NSC524,Algebraic Structures - Intermediate (Variable),MATH 4010,Abstract Algebra,,,,Marlboro College Fall Course Descriptions
Troy,NY,Russell Sage College,MAT 411,Introduction To Abstract Algebra,MATH 4010,Abstract Algebra,,,,Russell Sage College
Fairfield,CT,Sacred Heart University,MA 362,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Sacred Heart University Undergraduate
Loudonville,NY,Siena College,MATH - 310,Introduction To Modern Algebra,MATH 4010,Abstract Algebra,,,,Siena College Undergraduate
Saratoga Springs,NY,Skidmore College,MA 319,Abstract Algebra I,MATH 4010,Abstract Algebra,,,,Skidmore College
Springfield,MA,Springfield College,MATH 415,Abstract Algebra,MATH 4010,Abstract Algebra,,,,Springfield College
Oneonta,NY,Suny College At Oneonta,MATH 322,Modern Algebra And Theory Of Equations II,MATH 4010 + MATH 4010,Abstract Algebra + Abstract Algebra,,,,SUNY Oneonta Undergraduate
Oneonta,NY,Suny College At Oneonta,MATH 322,Modern Algebra And Theory Of Equations II,MATH 4010 + MATH 4010,Abstract Algebra + Abstract Algebra,,,,SUNY Oneonta Undergraduate
Oneonta,NY,Suny College At Oneonta,STAT 361,Mathematical Theory Of Probability And Statistics I,MATH 4010,Abstract Algebra,,,,SUNY Oneonta Undergraduate
Oneonta,NY,Suny College At Oneonta,MATH 322 + STAT 361,Modern Algebra And Theory Of Equations II + Mathematical Theory Of Probability And Statistics I,MATH 4010,Abstract Algebra,,,,SUNY Oneonta Undergraduate
Albany,NY,The College Of Saint Rose,MAT 350,Abstract Algebra,MATH 4010,Abstract Algebra,,,,College Of Saint Rose Undergraduate Studies
Duluth,MN,University Of Minnesota Duluth,MATH 4375,Introduction To Abstract Algebra,MATH 4010,Abstract Algebra,MATH 4010 (3cr),05/01/2023,05/01/2026,University Of Minnesota Duluth
