City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Corning,NY,Corning Community College,CHIN 2020,Intermediate Chinese II,LANG 2430,Chinese IV,,,,Corning Community College
Charlotte,NC,University Of North Carolina At Charlotte,CHNS 2202,Intermediate Chinese II,LANG 2430,Chinese IV,,,,University Of North Carolina Charlotte Undergraduate
Wellesley,MA,Wellesley College,CHIN 203,Advanced Intermediate Chinese,LANG 2430,Chinese IV,,,,Wellesley College
