City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Northfield,VT,Norwich University,MS 112,Military Science I,USAR 1020,Fundamentals Of Military Science II,,,,Norwich University Course Descriptions
Loudonville,NY,Siena College,MILS - 110,Introduction To Military Leadership II,USAR 1020,Fundamentals Of Military Science II,,,,Siena College Undergraduate
Albany,NY,"University At Albany, State University Of New York",R PAD 111,Introduction To Military Leadership II,USAR 1020,Fundamentals Of Military Science II,,,,SUNY University At Albany Undergraduate Bulletin
