City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Stony Brook,NY,Stony Brook University,CIV 101,Introduction To Civil Engineering,CIVL 1100 + ENGR 1000,Introduction To Civil And Environmental Engineering + Engineering Elective,1 cedit CIVL-1100 and 2 elective credits ENGR-1000,01/01/2021,01/01/2026,SUNY Stony Brook Undergraduate Bulletin And Course Descriptions Spring
Schenectady,NY,Union College,CER 011,"Advanced Communications, Writing Across The Curriculum, Writing Across The Curriculum",CIVL 1100,Introduction To Civil And Environmental Engineering,Transfers as 1 credit,01/01/2020,01/01/2025,Union College Graduate
West Point,NY,United States Military Academy,CE201,Intro To Civil Engineering,CIVL 1100,Introduction To Civil And Environmental Engineering,Transfers as 1 credit,01/01/2021,01/01/2026,United State Military Academy Course Descriptions
